id,group,treatment,rating_cheap,rating_medium,rating_expensive,quiz_score,zip_code,age,gender,...other covariates...
66,c02,0,5,2,3,8,93033,Male,26,...
67,c02,0,5,3,3,7,93033,Female,59,...
68,c02,0,1,4,3,8,93033,Male,25,...
69,c02,0,3,5,3,10,93033,Male,37,...
70,c02,0,2,4,3,7,93033,Female,46,...
71,t03,1,3,5,3,7,93033,Male,24,...
72,t03,1,3,1,4,6,93035,Female,28,...
73,t03,1,2,3,1,7,93035,Male,18,...
74,t03,1,3,5,2,6,93035,Female,37,...
75,t03,1,3,5,3,6,93035,Female,59,...
76,t03,1,3,1,4,1,93035,Male,23,...
77,t03,1,3,3,2,6,93035,Female,22,...
78,t03,1,2,2,3,3,93036,Male,21,...
79,t03,1,5,4,5,1,93036,Female,26,...
80,t03,1,2,3,3,8,93036,Male,31,...
81,t09,1,4,5,1,7,93036,Male,35,...
82,t09,1,2,1,3,8,93036,Female,37,...
83,t09,1,2,2,5,10,93036,Female,26,...
84,t09,1,4,3,2,7,93041,Male,59,...
85,t09,1,3,5,3,7,93235,Male,25,...
86,t09,1,3,1,4,7,93235,Male,22,...
87,t09,1,3,3,2,6,93235,Female,21,...
88,t09,1,2,2,3,7,93235,Male,26,...
89,t09,1,5,4,5,6,93235,Female,31,...
90,t09,1,2,3,3,6,93235,Male,35,...
91,t09,1,4,5,1,1,93238,Female,37,...
92,c01,0,1,2,3,6,93238,Male,26,...
93,c01,0,2,2,5,3,93238,Male,59,...
94,c01,0,3,4,2,1,93238,Female,25,...
95,c01,0,1,3,4,8,93238,Male,22,...
96,c01,0,3,2,1,7,93238,Female,21,...
97,c01,0,5,3,2,8,93239,Male,26,...
98,c01,0,5,3,3,8,93239,Female,31,...
99,c01,0,1,3,4,7,93239,Female,35,...
100,c01,0,3,2,1,6,93239,Male,25,...
101,,#N/A,#N/A,#N/A,#N/A,0,,,,
102,,#N/A,#N/A,#N/A,#N/A,0,,,,
103,,#N/A,#N/A,#N/A,#N/A,0,,,,
104,,#N/A,#N/A,#N/A,#N/A,0,,,,
105,,#N/A,#N/A,#N/A,#N/A,0,,,,
106,,#N/A,#N/A,#N/A,#N/A,0,,,,
107,,#N/A,#N/A,#N/A,#N/A,0,,,,
108,,#N/A,#N/A,#N/A,#N/A,0,,,,
109,,#N/A,#N/A,#N/A,#N/A,0,,,,
110,,#N/A,#N/A,#N/A,#N/A,0,,,,
111,,#N/A,#N/A,#N/A,#N/A,0,,,,
112,,#N/A,#N/A,#N/A,#N/A,0,,,,
113,,#N/A,#N/A,#N/A,#N/A,0,,,,
114,,#N/A,#N/A,#N/A,#N/A,0,,,,
115,,#N/A,#N/A,#N/A,#N/A,0,,,,
116,,#N/A,#N/A,#N/A,#N/A,0,,,,
117,,#N/A,#N/A,#N/A,#N/A,0,,,,
118,,#N/A,#N/A,#N/A,#N/A,0,,,,
119,,#N/A,#N/A,#N/A,#N/A,0,,,,
120,,#N/A,#N/A,#N/A,#N/A,0,,,,
